,t,zone_temp,hvac_power,out_temp,out_solar,csp,hsp
3491,16005000.0,22.0000472006261,458.6705813464787,21.7,147.0,22.0,16.0
3492,16005600.0,22.00007667924947,510.4264604054532,22.06666666666667,192.6666666666667,22.0,16.0
3493,16006200.0,22.00012716324438,556.1676323490931,22.43333333333333,238.3333333333333,22.0,16.0
3494,16006800.0,22.00012759791566,601.1299412734056,22.8,284.0,22.0,16.0
3495,16007400.0,22.00013679634185,646.9151751867807,23.16666666666666,327.8333333333333,22.0,16.0
3496,16008000.0,22.00011875515692,693.0393838661835,23.53333333333333,371.6666666666666,22.0,16.0
3497,16008600.0,22.00010539227986,744.1973211659244,23.9,415.5,22.0,16.0
3498,16009200.0,22.00011460813733,783.7436526608359,24.26666666666667,459.3333333333333,22.0,16.0
3499,16009800.0,22.00012745167277,835.1646887428868,24.63333333333333,503.1666666666667,22.0,16.0
3500,16010400.0,22.000141286456,3795.803716848723,25.0,547.0,22.0,16.0
3501,16011000.0,22.00008303815863,935.4743945068319,25.36666666666667,569.3333333333334,22.0,16.0
3502,16011600.0,22.00010482224295,980.8160386668332,25.73333333333333,591.6666666666666,22.0,16.0
3503,16012200.0,22.00012040316738,1023.049071863083,26.1,614.0,22.0,16.0
3504,16012800.0,22.00010195311051,990.3234561050572,26.46666666666667,636.3333333333334,22.0,16.0
3505,16013400.0,22.00010712342724,1021.50967894517,26.83333333333334,658.6666666666666,22.0,16.0
3506,16014000.0,22.00009649022216,1053.454909292669,27.2,681.0,22.0,16.0
3507,16014600.0,22.00013104551817,2376.30938560339,27.56666666666667,657.1666666666666,22.0,16.0
3508,16015200.0,22.00015756111072,2763.562922786346,27.93333333333334,633.3333333333334,22.0,16.0
3509,16015800.0,22.00001437434606,1175.565774877543,28.3,609.5,22.0,16.0
3510,16016400.0,22.74760716629601,407.1736924863424,28.58333333333334,585.6666666666666,23.0,16.0
3511,16017000.0,23.00275418204372,938.7133242735425,28.86666666666667,561.8333333333334,23.0,16.0
3512,16017600.0,23.00119424582215,872.5340195848466,29.15,538.0,23.0,16.0
3513,16018200.0,23.00357334855907,881.899460927117,29.43333333333334,542.6666666666667,23.0,16.0
3514,16018800.0,23.00147639077548,989.9016354822746,29.71666666666667,547.3333333333333,23.0,16.0
3515,16019400.0,23.00049521430237,3077.913611885294,30.0,552.0,23.0,16.0
3516,16020000.0,22.56818954383174,2486.00729304427,30.18333333333333,556.6666666666666,20.0,16.0
3517,16020600.0,22.14285031274435,1613.711847613951,30.36666666666667,561.3333333333334,20.0,16.0
3518,16021200.0,22.13950552219783,1615.618266271853,30.55,566.0,20.0,16.0
3519,16021800.0,22.09978985770311,1617.22732406641,30.73333333333333,587.3333333333334,20.0,16.0
3520,16022400.0,22.08410142813043,1618.871818474985,30.91666666666667,608.6666666666666,20.0,16.0
3521,16023000.0,22.06946821786493,1619.093554206578,31.1,630.0,20.0,16.0
3522,16023600.0,23.26401883472741,85.42871316166736,31.2,651.3333333333334,24.0,16.0
3523,16024200.0,23.74847809292977,363.0286784594558,31.3,672.6666666666667,24.0,16.0
3524,16024800.0,23.99757977861305,1642.22505215379,31.4,694.0,24.0,16.0
3525,16025400.0,24.00060360144072,2950.130290338376,31.5,650.6666666666667,24.0,16.0
3526,16026000.0,24.00066183982965,992.7800311078902,31.6,607.3333333333334,24.0,16.0
3527,16026600.0,24.00071003013387,1052.273800681892,31.7,564.0,24.0,16.0
3528,16027200.0,24.71809707427229,306.3800922353711,31.78333333333333,520.6666666666666,25.0,16.0
3529,16027800.0,24.99970131506145,833.272707241566,31.86666666666667,477.3333333333333,25.0,16.0
3530,16028400.0,24.99975630115487,743.5835535957672,31.95,434.0,25.0,16.0
3531,16029000.0,25.00048022564831,858.872817135109,32.03333333333334,435.8333333333334,25.0,16.0
3532,16029600.0,25.00041826804465,928.2574532828098,32.11666666666667,437.6666666666667,25.0,16.0
3533,16030200.0,25.00079812603342,992.1982749322178,32.2,439.5,25.0,16.0
3534,16030800.0,24.99931525346759,1046.832502954612,32.2,441.3333333333333,25.0,16.0
3535,16031400.0,25.00066547728892,1090.447393021116,32.2,443.1666666666667,25.0,16.0
3536,16032000.0,24.99812714304116,3974.465695414245,32.2,445.0,25.0,16.0
3537,16032600.0,24.99831100346324,1174.316301468435,32.2,425.6666666666667,25.0,16.0
3538,16033200.0,25.00296938535259,1221.283680213681,32.2,406.3333333333333,25.0,16.0
3539,16033800.0,25.00134556119837,1271.484072271209,32.2,387.0,25.0,16.0
3540,16034400.0,24.68054425610761,1659.369235922522,32.3,367.6666666666667,19.0,16.0
3541,16035000.0,24.54669351862778,1659.834978233992,32.40000000000001,348.3333333333334,19.0,16.0
3542,16035600.0,24.44971184187285,1660.193445355785,32.5,329.0,19.0,16.0
3543,16036200.0,24.32194196090873,1659.707716816988,32.6,354.8333333333333,19.0,16.0
3544,16036800.0,24.32685529095153,1661.121582032652,32.7,380.6666666666666,19.0,16.0
3545,16037400.0,24.30028983493688,1661.740178490218,32.8,406.5,19.0,16.0
3546,16038000.0,24.29326297903121,1660.932947800244,32.8,432.3333333333333,23.0,16.0
3547,16038600.0,24.30132526881426,1660.011112591569,32.8,458.1666666666667,23.0,16.0
3548,16039200.0,24.31225533004336,1659.172183858258,32.8,484.0,23.0,16.0
3549,16039800.0,24.32312641928297,3772.02057174327,32.8,490.6666666666667,23.0,16.0
3550,16040400.0,24.34156677117633,2360.406021557757,32.8,497.3333333333333,23.0,16.0
3551,16041000.0,24.36710285861187,1657.602370870005,32.8,504.0,23.0,16.0
3552,16041600.0,24.40426768030174,1655.544549859051,32.7,510.6666666666666,21.0,16.0
3553,16042200.0,24.43552600146896,1653.71123821118,32.6,517.3333333333334,21.0,16.0
3554,16042800.0,24.4544949392519,1651.937209421334,32.5,524.0,21.0,16.0
3555,16043400.0,24.46120802740182,1650.138876728437,32.40000000000001,477.5,21.0,16.0
3556,16044000.0,24.46244058509594,1648.296557586365,32.3,431.0,21.0,16.0
3557,16044600.0,24.45900718294218,1646.441225479862,32.2,384.5,21.0,16.0
3558,16045200.0,24.48344830078756,1645.163302703411,32.11666666666667,338.0,23.0,16.0
3559,16045800.0,24.51034725623722,1644.117271760504,32.03333333333334,291.5,23.0,16.0
3560,16046400.0,24.51735244973699,1643.008621077472,31.95,245.0,23.0,16.0
3561,16047000.0,24.50959101223621,2383.38533886024,31.86666666666667,228.6666666666667,23.0,16.0
3562,16047600.0,24.49369533180542,3748.662286192502,31.78333333333333,212.3333333333333,23.0,16.0
